"selection1_name","selection1_url","selection1_selection2"
"Patrick Mahomes II Rookie Card PSA 8 Rated Rookie 2017 Panini Donruss #327 RC","https://www.ebay.com/itm/Patrick-Mahomes-II-Rookie-Card-PSA-8-Rated-Rookie-2017-Panini-Donruss-327-RC/254836809060?hash=item3b55751d64:g:ZjQAAOSwitRgA9q9","$375.00"
"2017 Panini Donruss #327 Patrick Mahomes II Chiefs RC Rated Rookie Card PSA 8","https://www.ebay.com/itm/2017-Panini-Donruss-327-Patrick-Mahomes-II-Chiefs-RC-Rated-Rookie-Card-PSA-8/383901136369?hash=item59624a75f1:g:TycAAOSwvHBf~m9p","$325.00"
"Patrick Mahomes 2017 Donruss Rated Rookie RC #327 PSA 8 NM-MT PERFECT CENTERING","https://www.ebay.com/itm/Patrick-Mahomes-2017-Donruss-Rated-Rookie-RC-327-PSA-8-NM-MT-PERFECT-CENTERING/303847713831?hash=item46bebc2c27:g:QJcAAOSw-OVgAIuo","$299.00"
"2017 Panini Donruss #327 Patrick Mahomes II Chiefs RC Rated Rookie Card PSA 8 RC","https://www.ebay.com/itm/2017-Panini-Donruss-327-Patrick-Mahomes-II-Chiefs-RC-Rated-Rookie-Card-PSA-8-RC/265015418792?hash=item3db4265fa8:g:OBMAAOSwLyBf~5bm","$300.00"
"2017 Panini Donruss #327 Patrick Mahomes II Chiefs RC Rated Rookie Card PSA 8","https://www.ebay.com/itm/2017-Panini-Donruss-327-Patrick-Mahomes-II-Chiefs-RC-Rated-Rookie-Card-PSA-8/313371103582?hash=item48f65f915e:g:RPQAAOSwol5f9RTg","$291.00"
"2017 Panini Donruss Patrick Mahomes Rated Rookie PSA9 Psa8 RC Lot Of 2 Psa Lot","https://www.ebay.com/itm/2017-Panini-Donruss-Patrick-Mahomes-Rated-Rookie-PSA9-Psa8-RC-Lot-Of-2-Psa-Lot/174588421171?hash=item28a647e433:g:YekAAOSwhSNf9BYS","$748.00"
"Patrick Mahomes 2017 Donruss Rated Rookie RC #327 PSA 8 NM-MT KC Chiefs","https://www.ebay.com/itm/Patrick-Mahomes-2017-Donruss-Rated-Rookie-RC-327-PSA-8-NM-MT-KC-Chiefs/373421004917?hash=item56f1a05875:g:S3EAAOSwEtdf91jM","$275.00"
"2017 DONRUSS RATED ROOKIE PSA 8 PATRICK MAHOMES CHIEFS🔥🔥","https://www.ebay.com/itm/2017-DONRUSS-RATED-ROOKIE-PSA-8-PATRICK-MAHOMES-CHIEFS/174580446581?hash=item28a5ce3575:g:0nwAAOSwKT5f8IA9","$299.99"
"2017 Panini Donruss #327 Patrick Mahomes II Chiefs RC Rated Rookie Card PSA 8 MK","https://www.ebay.com/itm/2017-Panini-Donruss-327-Patrick-Mahomes-II-Chiefs-RC-Rated-Rookie-Card-PSA-8-MK/373416384437?hash=item56f159d7b5:g:JbIAAOSw0lFf8gF8","$242.50"
"2017 Panini Donruss Rated Rookies Patrick Mahomes II #327 PSA 8 Rookie","https://www.ebay.com/itm/2017-Panini-Donruss-Rated-Rookies-Patrick-Mahomes-II-327-PSA-8-Rookie/233826746086?hash=item367128fee6:g:ekgAAOSwidZf3RTz","$217.50"
"S 2017 DONRUSS RATED ROOKIE PSA 8 PATRICK MAHOMES CHIEFS","https://www.ebay.com/itm/S-2017-DONRUSS-RATED-ROOKIE-PSA-8-PATRICK-MAHOMES-CHIEFS/164593977724?hash=item265290c97c:g:35gAAOSwbHNf4CcH","$227.50"
"2017 Panini Donruss #327 Patrick Mahomes II Chiefs RC Rated Rookie Card PSA 8 MK","https://www.ebay.com/itm/2017-Panini-Donruss-327-Patrick-Mahomes-II-Chiefs-RC-Rated-Rookie-Card-PSA-8-MK/313358857457?hash=item48f5a4b4f1:g:RGIAAOSwcEVf5jrR","$160.00"
"PATRICK MAHOMES II 2017 DONRUSS #327 PSA 8 NM-MT RATED ROOKIE RC SS1586","https://www.ebay.com/itm/PATRICK-MAHOMES-II-2017-DONRUSS-327-PSA-8-NM-MT-RATED-ROOKIE-RC-SS1586/233823186123?hash=item3670f2accb:g:BRQAAOSwwMJf2X1U","$206.78"
"🔥 2017 Donruss Rated Rookie Patrick Mahomes II Rc #327 PSA 8 🔥","https://www.ebay.com/itm/2017-Donruss-Rated-Rookie-Patrick-Mahomes-II-Rc-327-PSA-8/303800460748?hash=item46bbeb25cc:g:x48AAOSwC4JfzXgd","$206.50"
"2017 Panini Donruss #327 Patrick Mahomes II Chiefs RC Rated Rookie Card PSA 8","https://www.ebay.com/itm/2017-Panini-Donruss-327-Patrick-Mahomes-II-Chiefs-RC-Rated-Rookie-Card-PSA-8/254798186345?hash=item3b5327c769:g:tYsAAOSwy0lfyjCJ","$177.50"
"2017 Panini Donruss #327 Patrick Mahomes II Chiefs RC Rated Rookie Card PSA 8","https://www.ebay.com/itm/2017-Panini-Donruss-327-Patrick-Mahomes-II-Chiefs-RC-Rated-Rookie-Card-PSA-8/254797684416?hash=item3b53201ec0:g:D2IAAOSwVrNfyVTN","$152.50"
"2017 Panini Donruss #327 Patrick Mahomes II Chiefs RC Rated Rookie Card PSA 8","https://www.ebay.com/itm/2017-Panini-Donruss-327-Patrick-Mahomes-II-Chiefs-RC-Rated-Rookie-Card-PSA-8/313322484399?hash=item48f379b2af:g:bDQAAOSwLKxfxF0X","$203.50"
"2017 Donruss Rated Rookie Patrick Mahomes II Chiefs #327 PSA 8 NM-MT","https://www.ebay.com/itm/2017-Donruss-Rated-Rookie-Patrick-Mahomes-II-Chiefs-327-PSA-8-NM-MT/254784271422?hash=item3b5253743e:g:kmkAAOSweAlft~~O","$209.50"
"2017 Donruss Rated Rookie # 327 Patrick Mahomes PSA 8 NM-MT Rookie CHIEFS","https://www.ebay.com/itm/2017-Donruss-Rated-Rookie-327-Patrick-Mahomes-PSA-8-NM-MT-Rookie-CHIEFS/303767600307?hash=item46b9f5bcb3:g:7LgAAOSw6K1fsGRZ","$127.50"
"2017 Panini Donruss Patrick Mahomes Rated Rookie RC #327 PSA 8","https://www.ebay.com/itm/2017-Panini-Donruss-Patrick-Mahomes-Rated-Rookie-RC-327-PSA-8/184520936648?hash=item2af64e0cc8:g:kJgAAOSwlQNfotgl","$200.00"
"2017 Donruss Rated RC #327 Patrick Mahomes PSA 8 Rookie MVP, SUPER BOWL?","https://www.ebay.com/itm/2017-Donruss-Rated-RC-327-Patrick-Mahomes-PSA-8-Rookie-MVP-SUPER-BOWL/303759100034?hash=item46b9740882:g:~asAAOSwUepfqHHo","$105.00"
"2017 Donruss Rated Rookie Patrick Mahomes PSA 8! #327 FREE SHIPPING!","https://www.ebay.com/itm/2017-Donruss-Rated-Rookie-Patrick-Mahomes-PSA-8-327-FREE-SHIPPING/293808750520?hash=item44685dbfb8:g:gaUAAOSw9uhfnZL6","$185.00"
"2017 Donruss Patrick Mahomes Rated Rookie RC PSA 8 BRAND NEW LABEL PSA FRESH!!","https://www.ebay.com/itm/2017-Donruss-Patrick-Mahomes-Rated-Rookie-RC-PSA-8-BRAND-NEW-LABEL-PSA-FRESH/383758845414?hash=item5959cf45e6:g:J8sAAOSwHUdfc-UK","$190.00"
"2017 Panini Donruss Patrick Mahomes Rated Rookie RC #327 PSA 8","https://www.ebay.com/itm/2017-Panini-Donruss-Patrick-Mahomes-Rated-Rookie-RC-327-PSA-8/184520943419?hash=item2af64e273b:g:wdQAAOSwmU5fotj0","$199.99"
