"selection1_name","selection1_url","selection1_selection2"
"RONALD ACUNA JR 2018 Topps Update Blue Jersey #US250 PSA 8 NM-MT RC","https://www.ebay.com/itm/RONALD-ACUNA-JR-2018-Topps-Update-Blue-Jersey-US250-PSA-8-NM-MT-RC/284150279189?hash=item4228ad2c15:g:wE0AAOSwCqRgA2WW","$39.99"
"RONALD ACUNA JR 2018 Topps Update Blue Jersey #US250 PSA 8 NM-MT RC","https://www.ebay.com/itm/RONALD-ACUNA-JR-2018-Topps-Update-Blue-Jersey-US250-PSA-8-NM-MT-RC/193837604795?hash=item2d219f1fbb:g:UesAAOSw2ihf9SGh","$37.00"
"2018 Topps Update Ronald Acuna Jr. Rookie RC #US250 PSA 8 NM-MT Braves L45","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-Rookie-RC-US250-PSA-8-NM-MT-Braves-L45/124517309385?hash=item1cfdcf5bc9:g:y0AAAOSwpk5f9l~V","$34.00"
"2018 Topps Update Series RONALD ACUNA Jr. #US250 - RC - PSA 8 Nm-Mt","https://www.ebay.com/itm/2018-Topps-Update-Series-RONALD-ACUNA-Jr-US250-RC-PSA-8-Nm-Mt/233852329355?hash=item3672af5d8b:g:DyoAAOSwOgdf-Pks","$35.99"
"2018 Topps Update Ronald Acuna Jr. Rookie Card RC #US250 PSA 8 Braves H52","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-Rookie-Card-RC-US250-PSA-8-Braves-H52/124509170746?hash=item1cfd532c3a:g:1LYAAOSwSFZf7nfs","$35.00"
"2018 TOPPS UPDATE RONALD ACUNA JR RC #US 250 BAT IN BLUE JERSEY NM-MINT PSA 8 RC","https://www.ebay.com/itm/2018-TOPPS-UPDATE-RONALD-ACUNA-JR-RC-US-250-BAT-IN-BLUE-JERSEY-NM-MINT-PSA-8-RC/203234878494?hash=item2f51be241e:g:E24AAOSwl8Rf7l13","$27.99"
"2018 Topps Update Ronald Acuna Jr RC Rookie PSA 8 *Quantity* Braves #US250","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-RC-Rookie-PSA-8-Quantity-Braves-US250/283974603358?hash=item421e34925e:g:t6sAAOSwzaJfMWie","$49.99"
"2018 Topps Update Ronald Acuna Jr. Rookie RC #US250 PSA 8 NM-MT","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-Rookie-RC-US250-PSA-8-NM-MT/274592973944?hash=item3fef044478:g:Z~0AAOSw53Ffwd3C","$45.99"
"2018 Topps Update Ronald Acuna Jr US 250 RC PSA 8 Near Mint","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-US-250-RC-PSA-8-Near-Mint/124461089598?hash=item1cfa75833e:g:xqQAAOSwE3RfwUVP","$35.00"
"2018 Topps Update Ronald Acuna Jr RC At Bat In Blue Jersey #US250 PSA 8","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-RC-At-Bat-In-Blue-Jersey-US250-PSA-8/383821219838?hash=item595d8707fe:g:1IEAAOSwzztfuF9l","$23.50"
