"selection1_name","selection1_url","selection1_selection2"
"2018 Topps Update Ronald Acuna Jr. Rookie Card RC #US250 Braves O2","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-Rookie-Card-RC-US250-Braves-O2/124527085256?hash=item1cfe6486c8:g:LlYAAOSwFS5f~5Tw","$49.00"
"New Listing2018 Topps Update Ronald Acuna Jr. Rookie Card RC #US250 Braves","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-Rookie-Card-RC-US250-Braves/383908870840?hash=item5962c07ab8:g:AFcAAOSw8H5gBiEE","$44.95"
"2018 Topps Update Ronald Acuna RC Rookie US250","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-RC-Rookie-US250/254832459617?hash=item3b5532bf61:g:rQEAAOSwgMNf~QPY","$28.00"
"2018 Topps Update Ronald Acuna Jr. Rookie Card RC #US250 Braves 10?","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-Rookie-Card-RC-US250-Braves-10/174597616618?hash=item28a6d433ea:g:MQQAAOSwxTdgAeFa","$65.00"
"New Listing2018 Topps Update Series Ronald Acuna Jr. US250 RC & US252 Debut cards - Braves","https://www.ebay.com/itm/2018-Topps-Update-Series-Ronald-Acuna-Jr-US250-RC-US252-Debut-cards-Braves/373432340225?hash=item56f24d4f01:g:VgcAAOSw6GVgBbYD","$4.99"
"2018 Topps Update Ronald Acuna Jr. Rookie Card RC #US250 Braves","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-Rookie-Card-RC-US250-Braves/353349482541?hash=item524545382d:g:G-MAAOSwclVf-9~p","$53.00"
"2018 Topps Update Ronald Acuna Jr. RC #US250 Braves","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-RC-US250-Braves/363206398902?hash=item5490c9d3b6:g:gsQAAOSwIhFfyXAw","$49.99"
"2018 Topps Update Ronald Acuna Jr. Rookie Card RC #US250 Braves N88","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-Rookie-Card-RC-US250-Braves-N88/124525144795?hash=item1cfe46eadb:g:8UEAAOSw4bZf~klx","$49.00"
"Ronald Acuna Jr 2018 Topps Update #US250 Rc Braves Rookie","https://www.ebay.com/itm/Ronald-Acuna-Jr-2018-Topps-Update-US250-Rc-Braves-Rookie/224311724183?hash=item343a054897:g:8JgAAOSw3lJf-0bd","$58.25"
"2018 Topps Update RONALD ACUNA JR. Rookie RC #US250 Atlanta Braves","https://www.ebay.com/itm/2018-Topps-Update-RONALD-ACUNA-JR-Rookie-RC-US250-Atlanta-Braves/284148978853?hash=item42289954a5:g:SCkAAOSw8vtfgfZ8","$59.99"
"RONALD ACUNA JR 2018 TOPPS UPDATE #US250 250 RC ROOKIE ATLANTA BRAVES MINT $120","https://www.ebay.com/itm/RONALD-ACUNA-JR-2018-TOPPS-UPDATE-US250-250-RC-ROOKIE-ATLANTA-BRAVES-MINT-120/293948863364?hash=item4470b7b384:g:rbwAAOSwmOBf-ma2","$52.00"
"2018 Topps Update Ronald Acuna Jr. US250 Rookie RC Atlanta Braves Bat Up","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-US250-Rookie-RC-Atlanta-Braves-Bat-Up/154284830158?hash=item23ec17adce:g:niMAAOSw-aVf-i5Y","$56.00"
"2018 Topps Update Ronald Acuna RC #US250 At-Bat In Blue Jersey 10 Grade Gem Mint","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-RC-US250-At-Bat-In-Blue-Jersey-10-Grade-Gem-Mint/203238720366?hash=item2f51f8c36e:g:iPcAAOSwA2pf8~tB","$135.00"
"2018 Topps Update RONALD ACUNA JR RC US250 Atlanta Braves Rookie","https://www.ebay.com/itm/2018-Topps-Update-RONALD-ACUNA-JR-RC-US250-Atlanta-Braves-Rookie/363251916365?hash=item5493805e4d:g:2XMAAOSwOVZf-RIE","$46.00"
"2018 Topps Update Ronald Acuna Jr. RC #US250 BRAVES NM","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-RC-US250-BRAVES-NM/154277944509?hash=item23ebae9cbd:g:pbkAAOSwf6xf9Il6","$51.50"
"2018 Topps Update RONALD ACUNA JR RC/ROOKIE BRAVES #US250 B541","https://www.ebay.com/itm/2018-Topps-Update-RONALD-ACUNA-JR-RC-ROOKIE-BRAVES-US250-B541/333853654977?hash=item4dbb3a7fc1:g:IroAAOSwjqFf-6HA","$39.99"
"2018 Topps Update Ronald Acuna Jr. Rookie Card RC #US250 Braves","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-Rookie-Card-RC-US250-Braves/274640986795?hash=item3ff1e0e2ab:g:ThcAAOSwRrhf-I-L","$63.12"
"Ronald Acuna Jr 2018 Topps Update RC Rookie card US250 Atlanta Braves","https://www.ebay.com/itm/Ronald-Acuna-Jr-2018-Topps-Update-RC-Rookie-card-US250-Atlanta-Braves/143852736107?hash=item217e4a8e6b:g:LywAAOSwNm1ftqKO","$50.00"
"2018 Topps Update Ronald Acuna Jr. # US 250 RC Atlanta Braves !","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-US-250-RC-Atlanta-Braves/254834522007?hash=item3b55523797:g:UcAAAOSw98JgADrZ","$29.99"
"2018 Topps Update RONALD ACUNA JR. Rookie RC #US250 Atlanta Braves Baseball","https://www.ebay.com/itm/2018-Topps-Update-RONALD-ACUNA-JR-Rookie-RC-US250-Atlanta-Braves-Baseball/124507751033?hash=item1cfd3d8279:g:rhYAAOSwa8Jf7RHj","$50.00"
"2018 Topps Update #US250 - Ronald Acuna Jr. - Atlanta Braves RC","https://www.ebay.com/itm/2018-Topps-Update-US250-Ronald-Acuna-Jr-Atlanta-Braves-RC/274557795863?hash=item3feceb7e17:g:rJAAAOSwq85flieZ","$65.00"
"2018 Topps Update Ronald Acuna Jr. Rookie Card RC #US250 Braves G62","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Jr-Rookie-Card-RC-US250-Braves-G62/174592016344?hash=item28a67ebfd8:g:8hAAAOSwlcdf~Hl0","$49.99"
"2018 Topps Update Ronald Acuna Rookie Card #US250 Braves RC","https://www.ebay.com/itm/2018-Topps-Update-Ronald-Acuna-Rookie-Card-US250-Braves-RC/133633781866?hash=item1f1d31b06a:g:cUcAAOSwr5pf-2I1","$55.00"
