"CARDS_name","CARDS_url","CARDS_selection1"
"2017 Donruss⚡Patrick Mahomes⚡Rated Rookie⚡RC #327⚡PSA 9 MINT","https://www.ebay.com/itm/2017-Donruss-Patrick-Mahomes-Rated-Rookie-RC-327-PSA-9-MINT/174592566053?hash=item28a6872325:g:Yy0AAOSwMVxf~OnR","$455.00"
"2017 Donruss Rated Rookie #327 Patrick Mahomes II RC Chiefs PSA 9 MINT 🔥🔥","https://www.ebay.com/itm/2017-Donruss-Rated-Rookie-327-Patrick-Mahomes-II-RC-Chiefs-PSA-9-MINT/254837589100?hash=item3b5581046c:g:UewAAOSwKahf~iYr","$475.00"
"2017 Panini Donruss #327 Patrick Mahomes II PSA 9 Chiefs Rated Rookie🔥📈🔥 MVP","https://www.ebay.com/itm/2017-Panini-Donruss-327-Patrick-Mahomes-II-PSA-9-Chiefs-Rated-Rookie-MVP/333857995500?hash=item4dbb7cbaec:g:EYgAAOSwdhJgARdk","$440.00"
"2017 Donruss Patrick Mahomes II Blue Press Proof Rated Rookie PSA 9 MINT Chiefs","https://www.ebay.com/itm/2017-Donruss-Patrick-Mahomes-II-Blue-Press-Proof-Rated-Rookie-PSA-9-MINT-Chiefs/274603008231?hash=item3fef9d60e7:g:N6oAAOSwsI1fzFop","$499.99"
"2017 Patrick Mahomes II #327 Panini Donruss Rated Rookie Rookie Card RC PSA 9","https://www.ebay.com/itm/2017-Patrick-Mahomes-II-327-Panini-Donruss-Rated-Rookie-Rookie-Card-RC-PSA-9/143921023838?hash=item21825c8b5e:g:3IsAAOSwtvFgBL1X","$455.00"
"2017 Panini Donruss #327 Patrick Mahomes II PSA 9 Chiefs Rated Rookie🔥📈🔥 MVP","https://www.ebay.com/itm/2017-Panini-Donruss-327-Patrick-Mahomes-II-PSA-9-Chiefs-Rated-Rookie-MVP/333855588292?hash=item4dbb57ffc4:g:HbcAAOSwOghf780R","$452.00"
"2017 Patrick Mahomes II #327 Panini Donruss Rated Rookie Rookie Card RC PSA 9","https://www.ebay.com/itm/2017-Patrick-Mahomes-II-327-Panini-Donruss-Rated-Rookie-Rookie-Card-RC-PSA-9/224306872155?hash=item3439bb3f5b:g:L6kAAOSw5epf7N7J","$460.00"
"(1) 2017 Panini Donruss Rated Rookie #327 PATRICK MAHOMES II PSA 9 MINT. MVP?","https://www.ebay.com/itm/1-2017-Panini-Donruss-Rated-Rookie-327-PATRICK-MAHOMES-II-PSA-9-MINT-MVP/184615928801?hash=item2afbf783e1:g:6LQAAOSwYCNf-3E4","$451.00"
"2017 Patrick Mahomes II #327 Panini Donruss Rated Rookie Rookie Card RC PSA 9","https://www.ebay.com/itm/2017-Patrick-Mahomes-II-327-Panini-Donruss-Rated-Rookie-Rookie-Card-RC-PSA-9/224306886369?hash=item3439bb76e1:g:ThoAAOSwuDBf7N64","$455.00"
"2017 Patrick Mahomes II #327 Panini Donruss Rated Rookie Rookie Card RC PSA 9","https://www.ebay.com/itm/2017-Patrick-Mahomes-II-327-Panini-Donruss-Rated-Rookie-Rookie-Card-RC-PSA-9/333853400451?hash=item4dbb369d83:g:OMYAAOSwnLdf-1X1","$549.99"
"🏈 2017 Patrick Mahomes Panini Playoff RC #204 PSA 9 Card Chiefs - Rated Rookie","https://www.ebay.com/itm/2017-Patrick-Mahomes-Panini-Playoff-RC-204-PSA-9-Card-Chiefs-Rated-Rookie/124476164225?hash=item1cfb5b8881:g:WScAAOSwoexfzwXR","$350.00"
"2017 Panini Donruss #327 Patrick Mahomes II Chiefs RC Rated Rookie Card PSA 9","https://www.ebay.com/itm/2017-Panini-Donruss-327-Patrick-Mahomes-II-Chiefs-RC-Rated-Rookie-Card-PSA-9/313385074921?hash=item48f734c0e9:g:Ye0AAOSwZzNf1u-v","$500.00"
"2017 Panini Donruss #327 Patrick Mahomes II Chiefs RC Rated Rookie Card PSA 9","https://www.ebay.com/itm/2017-Panini-Donruss-327-Patrick-Mahomes-II-Chiefs-RC-Rated-Rookie-Card-PSA-9/313382040431?hash=item48f706736f:g:Ye0AAOSwZzNf1u-v","$450.00"
"2017 Patrick Mahomes II #327 Panini Donruss Rated Rookie Rookie Card RC PSA 9","https://www.ebay.com/itm/2017-Patrick-Mahomes-II-327-Panini-Donruss-Rated-Rookie-Rookie-Card-RC-PSA-9/143918361264?hash=item218233eab0:g:eToAAOSwdLlgAOAI","$450.00"
"2017 Panini Donruss #327 Patrick Mahomes II PSA 9 Chiefs Rated Rookie🔥📈🔥 MVP","https://www.ebay.com/itm/2017-Panini-Donruss-327-Patrick-Mahomes-II-PSA-9-Chiefs-Rated-Rookie-MVP/333854754487?hash=item4dbb4b46b7:g:dOYAAOSwZgZf787b","$365.00"
"(1) 2017 Panini Donruss Rated Rookie #327 PATRICK MAHOMES II PSA 9 MINT. MVP?","https://www.ebay.com/itm/1-2017-Panini-Donruss-Rated-Rookie-327-PATRICK-MAHOMES-II-PSA-9-MINT-MVP/184614427730?hash=item2afbe09c52:g:Yd8AAOSwqS1f-ij-","$370.00"
