"CARDS_name","CARDS_url","CARDS_PRICE"
"2015-16 upper deck 1 connor mcdavid young guns rc 201 mint","https://www.ebay.com/itm/2015-16-upper-deck-1-connor-mcdavid-young-guns-rc-201-mint/193849711416?hash=item2d2257db38:g:ADIAAOSwuMxgAE8N","$940.50"
"2015/16 UD SERIES 1 CONNOR MCDAVID YOUNG GUNS #201 9.5 WITH 10SUB 🔥🔥 INVEST","https://www.ebay.com/itm/2015-16-UD-SERIES-1-CONNOR-MCDAVID-YOUNG-GUNS-201-9-5-WITH-10SUB-INVEST/224317534671?hash=item343a5df1cf:g:dKcAAOSwprZgAen-","$1,724.27"
"2015-16 Upper Deck Young Guns #201 Connor McDavid Oilers RC EXCLUSIVES 77/100","https://www.ebay.com/itm/2015-16-Upper-Deck-Young-Guns-201-Connor-McDavid-Oilers-RC-EXCLUSIVES-77-100/233862144585?hash=item3673452249:g:l40AAOSwjrJgA1ki","$6,270.08"
"2015-16 Upper Deck Young Guns #201 Connor McDavid Oilers RC Rookie 8.5","https://www.ebay.com/itm/2015-16-Upper-Deck-Young-Guns-201-Connor-McDavid-Oilers-RC-Rookie-8-5/274639166163?hash=item3ff1c51ad3:g:esEAAOSwo4pfWP1r","$728.90"
"2015-16 Upper Deck Connor Mcdavid Young Guns RC SP #201","https://www.ebay.com/itm/2015-16-Upper-Deck-Connor-Mcdavid-Young-Guns-RC-SP-201/393089892819?hash=item5b85fbc1d3:g:CS4AAOSwHsxf-i6g","$753.19"
"2015-16 Upper Deck Young Guns No.201 Connor.mcdavid Rookie.","https://www.ebay.com/itm/2015-16-Upper-Deck-Young-Guns-No-201-Connor-mcdavid-Rookie/114621829613?hash=item1aaffe51ed:g:zJoAAOSwliVf4pfh","$453.80"
"201 CONNOR MCDAVID YOUNG GUNS OVERSIZED JUMBO ROOKIE CARD 2015-16 UPPPER DECK","https://www.ebay.com/itm/201-CONNOR-MCDAVID-YOUNG-GUNS-OVERSIZED-JUMBO-ROOKIE-CARD-2015-16-UPPPER-DECK/184623216608?hash=item2afc66b7e0:g:YXYAAOSwi9RgAmaY","$274.32"
"2015 Upper Deck Connor Mcdavid Young Guns RC #201 SGC 10 GEM MINT 💎","https://www.ebay.com/itm/2015-Upper-Deck-Connor-Mcdavid-Young-Guns-RC-201-SGC-10-GEM-MINT/154275191076?hash=item23eb849924:g:EK8AAOSwuLdf8fMB","$1,825.00"
"CONNOR MCDAVID RC YOUNG GUNS JUMBO 2015-16 UPPER DECK OVERSIZED NO 201 44178","https://www.ebay.com/itm/CONNOR-MCDAVID-RC-YOUNG-GUNS-JUMBO-2015-16-UPPER-DECK-OVERSIZED-NO-201-44178/203133136223?hash=item2f4badad5f:g:DhgAAOSwmY9ff3jy","$349.99"
"CONNOR MCDAVID RC YOUNG GUNS JUMBO 2015-16 UPPER DECK OVERSIZED NO 201 44177","https://www.ebay.com/itm/CONNOR-MCDAVID-RC-YOUNG-GUNS-JUMBO-2015-16-UPPER-DECK-OVERSIZED-NO-201-44177/164431935277?hash=item2648e8372d:g:1N4AAOSwBtNff3g8","$349.99"
"2015 Connor McDavid Young Guns UD Series One #201 Edmonton Oilers Mint Rookie","https://www.ebay.com/itm/2015-Connor-McDavid-Young-Guns-UD-Series-One-201-Edmonton-Oilers-Mint-Rookie/254833040394?hash=item3b553b9c0a:g:JJsAAOSwKbNf-y87","$653.66"
"2015-16 YOUNG GUNS JUMBO #201 CONNOR MCDAVID 15-16 UD YG ROOKIE RC","https://www.ebay.com/itm/2015-16-YOUNG-GUNS-JUMBO-201-CONNOR-MCDAVID-15-16-UD-YG-ROOKIE-RC/264891127567?hash=item3dacbdd70f:g:MP8AAOSwnltffl6t","$297.79"
"2015-16 Upper Deck Series 1 Young Guns Set # 201-250 Connor McDavid RC Rookie","https://www.ebay.com/itm/2015-16-Upper-Deck-Series-1-Young-Guns-Set-201-250-Connor-McDavid-RC-Rookie/174581742226?hash=item28a5e1fa92:g:8toAAOSwFvVf8evE","$999.99"
"2015-16 Connor McDavid Upper Deck Young Guns Rookie #201 *Great Condition*","https://www.ebay.com/itm/2015-16-Connor-McDavid-Upper-Deck-Young-Guns-Rookie-201-Great-Condition/353342087604?hash=item5244d461b4:g:~NIAAOSwzVdf6oo8","$772.00"
"CONNOR MCDAVID 2015-16 Upper Deck Young Guns Rookie #201 GEM MINT 9.5","https://www.ebay.com/itm/CONNOR-MCDAVID-2015-16-Upper-Deck-Young-Guns-Rookie-201-GEM-MINT-9-5/324441087841?hash=item4b8a321f61:g:2nAAAOSwBPZf8rir","$1,111.88"
"2015 Connor McDavid Young Guns UD Series One #201 Edmonton Oilers A++++ Rookie","https://www.ebay.com/itm/2015-Connor-McDavid-Young-Guns-UD-Series-One-201-Edmonton-Oilers-A-Rookie/254827306900?hash=item3b54e41f94:g:JJsAAOSwKbNf-y87","$858.22"
"2015-16 UPPER DECK YOUNG GUNS #201 CONNOR MCDAVID YG ROOKIE RC (REF330) READ !!!","https://www.ebay.com/itm/2015-16-UPPER-DECK-YOUNG-GUNS-201-CONNOR-MCDAVID-YG-ROOKIE-RC-REF330-READ/264999054234?hash=item3db32cab9a:g:~XoAAOSwfZVfQZX8","$548.62"
"2015 16 Upper Deck Young Guns #201 Connor McDavid Rookie Edmonton Oilers MINT","https://www.ebay.com/itm/2015-16-Upper-Deck-Young-Guns-201-Connor-McDavid-Rookie-Edmonton-Oilers-MINT/333731567187?hash=item4db3f39653:g:E58AAOSwnB1fa-Qb","$829.99"
"2015-16 UPPER DECK YOUNG GUNS #201 CONNOR MCDAVID YG ROOKIE RC **(Corner Wear)**","https://www.ebay.com/itm/2015-16-UPPER-DECK-YOUNG-GUNS-201-CONNOR-MCDAVID-YG-ROOKIE-RC-Corner-Wear/293944070927?hash=item44706e930f:g:RKcAAOSwrB5f9g3f","$546.28"
"2015-16 UPPER DECK YOUNG GUNS #201 CONNOR MCDAVID 15-16 UD YG ROOKIE RC (REF328)","https://www.ebay.com/itm/2015-16-UPPER-DECK-YOUNG-GUNS-201-CONNOR-MCDAVID-15-16-UD-YG-ROOKIE-RC-REF328/254784946037?hash=item3b525dbf75:g:~XoAAOSwfZVfQZX8","$783.75"
"Connor McDavid Young Guns MINT Rookie 2015-16 Upper Deck #201 Edmonton Oilers","https://www.ebay.com/itm/Connor-McDavid-Young-Guns-MINT-Rookie-2015-16-Upper-Deck-201-Edmonton-Oilers/154209979783?hash=item23e7a18d87:g:3akAAOSwd5Vf9chQ","$940.51"
"2015-16 Upper Deck Young Guns No.201 Connor.mcdavid Rookie.","https://www.ebay.com/itm/2015-16-Upper-Deck-Young-Guns-No-201-Connor-mcdavid-Rookie/114608026816?hash=item1aaf2bb4c0:g:zJoAAOSwliVf4pfh","$415.39"
"2015-2016 Upper Deck Connor McDavid Young Guns RC SP #201","https://www.ebay.com/itm/2015-2016-Upper-Deck-Connor-McDavid-Young-Guns-RC-SP-201/143901455928?hash=item218131f638:g:0uYAAOSw2vpf6h~z","$659.14"
"2015-16 UPPER DECK SERIES 1 YOUNG GUNS #201 C211 YOU PICK ROOKIE GEM MINT","https://www.ebay.com/itm/2015-16-UPPER-DECK-SERIES-1-YOUNG-GUNS-201-C211-YOU-PICK-ROOKIE-GEM-MINT/184593644958?hash=item2afaa37d9e:g:LOkAAOSw8Ntf461L","$999.99"
"2015-16 Upper Deck Connor Mcdavid Young Guns #201 rookie card bags 9.0","https://www.ebay.com/itm/2015-16-Upper-Deck-Connor-Mcdavid-Young-Guns-201-rookie-card-bags-9-0/143904033082?hash=item218159493a:g:L1MAAOSwZaRf38oa","$783.76"
"2015-16 Upper Deck Young Guns #201 Connor McDavid Oilers RC Rookie","https://www.ebay.com/itm/2015-16-Upper-Deck-Young-Guns-201-Connor-McDavid-Oilers-RC-Rookie/293938647354?hash=item44701bd13a:g:juUAAOSwH-Rf8TSq","$425.00"
"Connor Mcdavid Jumbo 2015-16 Young Guns #201 Ovesized Upper Deck Rookie Card Rc","https://www.ebay.com/itm/Connor-Mcdavid-Jumbo-2015-16-Young-Guns-201-Ovesized-Upper-Deck-Rookie-Card-Rc/402632312961?hash=item5dbec18881:g:K~wAAOSwdhNf8jQx","$274.32"
"2015-16 UPPER DECK 201 CONNOR MCDAVID YOUNG GUNS OVERSIZED JUMBO ROOKIE CARD","https://www.ebay.com/itm/2015-16-UPPER-DECK-201-CONNOR-MCDAVID-YOUNG-GUNS-OVERSIZED-JUMBO-ROOKIE-CARD/393035595091?hash=item5b82bf3d53:g:HuIAAOSwoJBfwuBQ","$301.75"
"2015-16 UPPER DECK #201 CONNOR MCDAVID YOUNG GUNS ROOKIE CARD MINT","https://www.ebay.com/itm/2015-16-UPPER-DECK-201-CONNOR-MCDAVID-YOUNG-GUNS-ROOKIE-CARD-MINT/274627921766?hash=item3ff1198766:g:ZCwAAOSwl89f38hq","$808.00"
"2015-16 Upper Deck Young Guns *OVERSIZED* #201 Connor McDavid RC MINT RAW Jumbo","https://www.ebay.com/itm/2015-16-Upper-Deck-Young-Guns-OVERSIZED-201-Connor-McDavid-RC-MINT-RAW-Jumbo/353317376036?hash=item52435b5024:g:KFwAAOSwNDFf1TLg","$274.31"
"2015-16 UPPER DECK YOUNG GUNS #201 CONNOR MCDAVID YG ROOKIE RC (REF330) READ !!!","https://www.ebay.com/itm/2015-16-UPPER-DECK-YOUNG-GUNS-201-CONNOR-MCDAVID-YG-ROOKIE-RC-REF330-READ/254793828075?hash=item3b52e546eb:g:~XoAAOSwfZVfQZX8","$548.62"
"2015-16 Upper Deck Connor McDavid Young Guns RC #201","https://www.ebay.com/itm/2015-16-Upper-Deck-Connor-McDavid-Young-Guns-RC-201/373414576468?hash=item56f13e4154:g:FG4AAOSw0GJf783X","$744.57"
"Connor McDavid 2015-16 Upper Deck Young Guns #201 Rookie Card RC","https://www.ebay.com/itm/Connor-McDavid-2015-16-Upper-Deck-Young-Guns-201-Rookie-Card-RC/154258642689?hash=item23ea881701:g:BC0AAOSw5uNfvaJe","$700.00"
"201 CONNOR MCDAVID YOUNG GUNS OVERSIZED JUMBO ROOKIE CARD 2015-16 UPPPER DECK","https://www.ebay.com/itm/201-CONNOR-MCDAVID-YOUNG-GUNS-OVERSIZED-JUMBO-ROOKIE-CARD-2015-16-UPPPER-DECK/393030226480?hash=item5b826d5230:g:gV4AAOSwelFfvURX","$293.91"
"2015 Upper Deck Young Guns Connor McDavid ROOKIE RC AUTO /97 #201, COA","https://www.ebay.com/itm/2015-Upper-Deck-Young-Guns-Connor-McDavid-ROOKIE-RC-AUTO-97-201-COA/402617167283?hash=item5dbdda6db3:g:SckAAOSwTOxf38CU","$3,050.00"
"2015-16 UD Young Guns #201 Connor McDavid Series One RC","https://www.ebay.com/itm/2015-16-UD-Young-Guns-201-Connor-McDavid-Series-One-RC/184585086805?hash=item2afa20e755:g:RZUAAOSwadlf3EIY","$649.00"
"2020-21 Upper Deck Connor Mcdavid Young Guns #201 rookie card bags 9.0","https://www.ebay.com/itm/2020-21-Upper-Deck-Connor-Mcdavid-Young-Guns-201-rookie-card-bags-9-0/143898423773?hash=item218103b1dd:g:L1MAAOSwZaRf38oa","$674.03"
"2015-16 Upper Deck Young Guns No.201 Connor.mcdavid Rookie.","https://www.ebay.com/itm/2015-16-Upper-Deck-Young-Guns-No-201-Connor-mcdavid-Rookie/114589984256?hash=item1aae186600:g:zJoAAOSwliVf4pfh","$317.42"
"2015-16 Upper Deck #201 Connor McDavid Young Guns Rookie Card RC Edmonton Oilers","https://www.ebay.com/itm/2015-16-Upper-Deck-201-Connor-McDavid-Young-Guns-Rookie-Card-RC-Edmonton-Oilers/164610474457?hash=item26538c81d9:g:n7kAAOSwFZpf6UML","$646.60"
"2015-16 Upper Deck Connor Mcdavid Young Guns RC SP #201","https://www.ebay.com/itm/2015-16-Upper-Deck-Connor-Mcdavid-Young-Guns-RC-SP-201/154253400708?hash=item23ea381a84:g:aOwAAOSwKwNf3vm5","$744.57"
"2015 Upper Deck Young Guns Connor McDavid ROOKIE RC #201 SGC 9.5 MINT+","https://www.ebay.com/itm/2015-Upper-Deck-Young-Guns-Connor-McDavid-ROOKIE-RC-201-SGC-9-5-MINT/353322905824?hash=item5243afb0e0:g:u5oAAOSwDHtf2-9H","$770.00"
"2015-16 UPPER DECK #201 CONNOR MCDAVID YOUNG GUNS ROOKIE CARD MINT","https://www.ebay.com/itm/2015-16-UPPER-DECK-201-CONNOR-MCDAVID-YOUNG-GUNS-ROOKIE-CARD-MINT/274620259738?hash=item3ff0a49d9a:g:ZCwAAOSwl89f38hq","$744.00"
"2015-16 Upper Deck Connor McDavid Young Guns RC SP #201","https://www.ebay.com/itm/2015-16-Upper-Deck-Connor-McDavid-Young-Guns-RC-SP-201/383867722789?hash=item59604c9c25:g:58IAAOSw~hNf4TE7","$646.60"
"2015-16 UPPER DECK YOUNG GUNS #201 CONNOR MCDAVID 15-16 YG ROOKIE RC (REFYG187)","https://www.ebay.com/itm/2015-16-UPPER-DECK-YOUNG-GUNS-201-CONNOR-MCDAVID-15-16-YG-ROOKIE-RC-REFYG187/264916370028?hash=item3dae3f026c:g:~XoAAOSwfZVfQZX8","$724.97"
"2015/16 UPPER DECK YOUNG GUNS #201 Connor McDavid « Like New »","https://www.ebay.com/itm/2015-16-UPPER-DECK-YOUNG-GUNS-201-Connor-McDavid-Like-New/303813642169?hash=item46bcb447b9:g:-AYAAOSwYGNf2nSn","$595.66"
"2015-16 UD Series One Hockey Connor McDavid Young Guns Rookie No. 201 Oilers","https://www.ebay.com/itm/2015-16-UD-Series-One-Hockey-Connor-McDavid-Young-Guns-Rookie-No-201-Oilers/184385356963?hash=item2aee3944a3:g:uIIAAOSwVgFfJhJH","$940.51"
"Connor McDAVID Jumbo 2015-16 YOUNG GUNS #201 Oversized Upper Deck Rookie Card RC","https://www.ebay.com/itm/Connor-McDAVID-Jumbo-2015-16-YOUNG-GUNS-201-Oversized-Upper-Deck-Rookie-Card-RC/324321593063?hash=item4b8312c6e7:g:6uQAAOSwDplfe7iH","$399.99"
"CONNOR MCDAVID 2015/16 UPPER DECK #201 YOUNG GUNS OVERSIZED JUMBO RC SEALED!","https://www.ebay.com/itm/CONNOR-MCDAVID-2015-16-UPPER-DECK-201-YOUNG-GUNS-OVERSIZED-JUMBO-RC-SEALED/124492271650?hash=item1cfc515022:g:FIkAAOSw78BfLGSo","$155.00"
"2015-16 Upper Deck Young Guns #201 Connor McDavid Oilers RC Rookie","https://www.ebay.com/itm/2015-16-Upper-Deck-Young-Guns-201-Connor-McDavid-Oilers-RC-Rookie/383856412998?hash=item595fa00946:g:s~MAAOSwXjRfWTsi","$480.96"
"Connor Mcdavid 2015-16 Upper Deck Young Guns Rookie RC #201","https://www.ebay.com/itm/Connor-Mcdavid-2015-16-Upper-Deck-Young-Guns-Rookie-RC-201/224281605361?hash=item343839b4f1:g:L~kAAOSw~X1fpkBZ","$485.00"
